NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,MPT,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ALLSTAR,TEAM_STANDING
Steven Adams, OKC, C,26,58,58,27.0,4.5,7.6, .591,0.0,0.1,0.33299999999999996,4.5,7.6,0.593,0.593,1.9,3.2,0.59,3.4,6.0,9.4,2.4,0.9,1.1,1.5,1.9,10.9,26,1564,20.8,0.605,0.006999999999999999,0.413,14.4,23.8,19.3,13.5,1.6,3.5,14.1,17.2,3.7,2.5,6.2,0.19,2.1,1.1,3.2,2.0,0,9
Bam Adebayo, MIA, PF,22,65,65,34.4,6.3,11.1, .567,0.0,0.2,0.077,6.3,10.9,0.5760000000000001,0.568,3.6,5.3,0.69,2.5,8.0,10.5,5.1,1.2,1.3,2.8,2.5,16.2,22,2235,20.6,0.606,0.018000000000000002,0.47600000000000003,8.7,25.0,17.2,23.6,1.7,3.8,17.5,20.8,4.6,3.6,8.1,0.175,1.6,2.1,3.6,3.2,1,8
LaMarcus Aldridge, SAS, C,34,53,53,33.1,7.4,15.0, .493,1.2,3.0,0.389,6.2,12.0,0.519,0.532,3.0,3.6,0.8270000000000001,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,34,1754,19.8,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.6,3.1,1.4,4.4,0.122,1.8,-0.5,1.3,1.5,0,20
Nickeil Alexander-Walker, NOP, SG,21,41,0,12.2,1.9,5.5, .339,1.0,2.9,0.342,0.9,2.7,0.336,0.42700000000000005,0.4,0.7,0.607,0.2,1.8,2.0,1.8,0.3,0.2,1.0,1.1,5.1,21,501,7.6,0.441,0.515,0.12300000000000001,1.7,15.2,8.4,20.3,1.0,1.2,14.3,22.8,-0.7,0.4,-0.4,-0.034,-3.5,-1.4,-4.9,-0.4,0,18
Grayson Allen, MEM, SG,24,30,0,16.6,2.6,5.9, .449,1.1,3.0,0.363,1.5,2.8,0.541,0.5429999999999999,1.0,1.2,0.857,0.2,2.0,2.2,1.4,0.2,0.0,0.8,1.2,7.4,24,498,11.4,0.5770000000000001,0.517,0.19899999999999998,1.1,12.6,7.0,11.8,0.6,0.2,10.7,17.9,0.5,0.3,0.7,0.07,-1.0,-1.5,-2.6,-0.1,0,14
Jarrett Allen, BRK, C,21,64,58,25.7,4.2,6.5, .646,0.0,0.1,0.0,4.2,6.4,0.654,0.6459999999999999,2.3,3.7,0.62,3.0,6.4,9.5,1.3,0.6,1.3,1.1,2.3,10.6,21,1647,20.3,0.6579999999999999,0.012,0.574,12.5,25.0,18.9,7.8,1.1,4.3,12.2,15.0,4.3,2.8,7.1,0.207,1.0,1.1,2.1,1.7,0,15
Kadeem Allen, NYK, SG,27,10,0,11.7,1.9,4.4, .432,0.5,1.6,0.313,1.4,2.8,0.5,0.489,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,27,117,14.0,0.512,0.364,0.25,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,0.1,0.1,0.1,0.053,0.0,-0.6,-0.6,0.0,0,25
Al-Farouq Aminu, ORL, PF,29,18,2,21.1,1.4,4.8, .291,0.5,2.0,0.25,0.9,2.8,0.32,0.34299999999999997,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,29,380,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.016,-4.5,1.4,-3.1,-0.1,0,16
Justin Anderson, BRK, SF,26,3,0,5.7,0.3,2.0, .167,0.0,1.0,0.0,0.3,1.0,0.33299999999999996,0.16699999999999998,0.3,0.7,0.5,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0,26,17,-3.8,0.218,0.5,0.33299999999999996,0.0,11.8,6.1,0.0,0.0,4.9,0.0,16.9,-0.1,0.0,-0.1,-0.16699999999999998,-12.8,-2.3,-15.1,-0.1,0,15
Kyle Anderson, MEM, PF,26,59,20,19.3,2.3,4.7, .493,0.3,1.1,0.258,2.1,3.7,0.56,0.521,0.7,1.1,0.652,0.9,3.4,4.4,2.2,0.8,0.5,0.9,1.4,5.7,26,1140,13.0,0.542,0.221,0.23600000000000002,5.1,18.3,11.8,15.1,1.9,2.4,15.1,13.3,0.9,1.4,2.2,0.095,-1.3,1.9,0.6,0.7,0,14
